Date,Open,High,Low,Close,Volume,Market Cap,pcnt_change,3_day_volume_avg,7_day_volume_avg,10_day_volume_avg,20_day_volume_avg,3_day_close_avg,7_day_close_avg,10_day_close_avg,20_day_close_avg,increase_flag,tomorrow_percent_change
23-Sep-17,18.58,20.59,18.3,20.18,"17,216,800","929,086,000",8.611410118,"20,428,133","21,733,886","29,538,040","59,384,850",18.77333333,19.58428571,19.228,21.0765,1,7.475560667
22-Sep-17,17.39,19.32,16.98,18.69,"22,480,200","869,657,000",7.475560667,"19,375,267","26,447,200","31,542,200","60,685,625",18.63,19.66714286,19.216,21.5835,1,-11.19592875
21-Sep-17,19.65,19.82,16.75,17.45,"21,587,400","982,515,000",-11.19592875,"22,032,500","30,494,557","33,364,410","64,197,745",19.04666667,19.67428571,19.444,22.235,0,-0.753768844
20-Sep-17,19.9,20.47,19.69,19.75,"14,058,200","995,012,000",-0.753768844,"24,052,567","33,442,286","33,989,200","66,889,320",20.30333333,19.42285714,19.887,22.963,0,-5.002382087
19-Sep-17,20.99,21.71,19.04,19.94,"30,451,900","1,049,420,000",-5.002382087,"25,598,200","36,756,600","37,983,630","68,684,275",20.34,19.46714286,20.187,23.6335,0,6.579608237
18-Sep-17,19.91,21.38,19.54,21.22,"27,647,600","995,579,000",6.579608237,"32,184,233","38,220,943","39,658,390","72,026,160",20.61333333,19.61428571,20.389,24.2915,1,-3.779069767
17-Sep-17,20.64,20.64,18.36,19.86,"18,695,100","1,031,920,000",-3.779069767,"39,905,600","38,247,757","48,118,830","79,070,480",19.78666667,19.70857143,20.753,24.9135,0,10.72
16-Sep-17,18.75,22.98,18.5,20.76,"50,210,000","937,288,000",10.72,"47,747,733","43,291,671","67,649,420","80,205,775",18.39666667,20.12142857,21.845,25.843,1,18.53257432
15-Sep-17,15.81,19.12,13.32,18.74,"50,811,700","790,612,000",18.53257432,"43,430,533","42,861,600","70,403,050","80,227,755",18.16333333,20.29285714,21.905,26.8095,1,-21.8625498
14-Sep-17,20.08,20.75,14.95,15.69,"42,221,500","1,004,180,000",-21.8625498,"40,060,733","51,638,786","74,462,110","79,738,060",18.90666667,21.16714286,22.311,27.802,0,-3.696591455
13-Sep-17,20.83,21.29,17.8,20.06,"37,258,400","1,041,450,000",-3.696591455,"35,265,333","76,178,714","89,231,660","80,015,595",20.97,23.32285714,22.925,29.0325,0,-4.115226337
12-Sep-17,21.87,23.6,19.86,20.97,"40,702,300","1,093,590,000",-4.115226337,"40,846,700","81,962,700","89,829,050","81,346,450",21.86666667,23.50857143,23.951,30.132,0,-3.527336861
11-Sep-17,22.68,23.97,21.7,21.88,"27,835,300","1,133,790,000",-3.527336861,"43,012,433","89,205,557","95,031,080","85,899,485",22.19666667,23.77,25.026,31.0835,0,4.549632353
10-Sep-17,21.76,23.64,19.37,22.75,"54,002,500","1,088,180,000",4.549632353,"71,151,333","112,360,086","99,789,440","87,920,985",23.19,23.76285714,26.039,31.782,1,-10.84043849
9-Sep-17,24.63,24.63,21.55,21.96,"47,199,500","1,231,580,000",-10.84043849,"124,484,167","110,821,486","99,384,920","89,518,610",25.86666667,24.84428571,27.08,32.4095,0,-18.73161164
8-Sep-17,30.59,30.59,22.41,24.86,"112,252,000","1,529,630,000",-18.73161164,"134,666,433","117,324,786","104,393,930","91,451,745",25.66666667,26.23857143,28.194,33.221,0,44.50704225
7-Sep-17,21.3,33.55,20.54,30.78,"214,001,000","1,065,110,000",44.50704225,"127,716,533","112,062,914","110,022,130","94,257,045",24.98,27.26,29.074,33.9765,1,-7.00914236
6-Sep-17,22.97,24.32,20.3,21.36,"77,746,300","1,148,320,000",-7.00914236,"119,688,533","88,628,100","92,762,130","94,049,245",21.99666667,27.6,29.841,34.38,0,4.204753199
5-Sep-17,21.88,23.85,18.93,22.8,"91,402,300","1,093,860,000",4.204753199,"108,183,867","91,420,000","90,052,460","99,732,430",24.98333333,29.27714286,31.714,35.3465,1,-28.28515112
4-Sep-17,30.44,30.44,17.4,21.83,"189,917,000","1,522,090,000",-28.28515112,"108,623,967","102,438,814","85,014,010","103,675,965",27.95666667,30.82857143,33.293,36.4835,0,-4.564054139
3-Sep-17,31.77,32.65,28.58,30.32,"43,232,300","1,588,690,000",-4.564054139,"70,457,933","81,222,243","70,799,530","107,320,165",31.35,33.20285714,35.14,37.7665,0,0.094667087
2-Sep-17,31.69,34.81,28.55,31.72,"92,722,600","1,584,390,000",0.094667087,"72,699,600","82,281,857","72,863,850","122,343,800",32.29666667,34.59857143,36.313,38.622,0,-3.497135966
1-Sep-17,33.17,33.57,28.87,32.01,"75,418,900","1,658,680,000",-3.497135966,"74,221,933","74,895,457","76,767,890","140,140,370",32.75666667,35.58,37.141,39.3685,0,0.69845126
31-Aug-17,32.93,35.09,32.6,33.16,"49,957,300","1,646,720,000",0.69845126,"105,260,300","70,945,929","76,052,530","145,258,025",33.30666667,36.76428571,37.525,39.5985,1,-1.135005974
30-Aug-17,33.48,35.84,29.71,33.1,"97,289,600","1,673,910,000",-1.135005974,"102,408,200","72,934,243","79,652,300","161,863,660",35.07,38.03428571,37.739,39.6155,0,-12.48049922
29-Aug-17,38.46,38.46,30.69,33.66,"168,534,000","1,922,840,000",-12.48049922,"86,861,533","77,859,014","78,509,560","175,005,430",37.4,39.02,38.248,39.7695,0,-4.424558787
28-Aug-17,40.23,40.31,37.38,38.45,"41,401,000","2,011,600,000",-4.424558787,"44,356,133","63,534,914","78,491,960","172,418,480",39.04333333,39.33285714,38.879,39.174,0,3.913945049
27-Aug-17,38.58,41.23,37.42,40.09,"50,649,600","1,928,770,000",3.913945049,"46,479,867","69,899,771","95,336,360","176,577,880",39.66,38.88285714,38.919,38.165,1,-4.266931283
26-Aug-17,40.31,40.52,37.7,38.59,"41,017,800","2,015,360,000",-4.266931283,"50,888,500","74,930,143","109,412,400","182,371,100",40.31333333,38.61142857,38.979,37.0945,0,-3.956148713
25-Aug-17,41.96,42.26,39.78,40.3,"47,772,200","2,098,230,000",-3.956148713,"81,136,900","93,121,600","122,337,920","184,392,750",40.78333333,38.80857143,39.674,35.9255,0,5.335671343
24-Aug-17,39.92,42.13,39.31,42.05,"63,875,500","1,996,230,000",5.335671343,"87,967,933","116,274,857","143,840,800","186,138,160",39.3,38.60142857,40.393,34.6115,1,11.63829193
23-Aug-17,35.83,44.03,35.25,40,"131,763,000","1,791,670,000",11.63829193,"95,327,767","134,494,071","171,823,750","185,758,660",37.05,38.40714286,40.931,33.0305,1,1.962457338
22-Aug-17,35.16,36.17,31.6,35.85,"68,265,300","1,758,180,000",1.962457338,"80,027,500","139,995,500","203,512,850","181,662,950",36.44666667,39.19857143,41.596,31.564,1,-7.202944269
21-Aug-17,38.04,38.28,34.15,35.3,"85,955,000","1,902,060,000",-7.202944269,"113,391,733","167,786,314","214,463,520","179,127,635",37.82,40.86142857,41.672,30.177,0,-3.633610901
20-Aug-17,39.63,40.65,38.16,38.19,"85,862,200","1,981,640,000",-3.633610901,"154,688,400","204,607,743","244,075,020","175,756,280",39.00333333,42.59428571,41.492,28.805,0,2.856407617
19-Aug-17,38.86,42.22,35.4,39.97,"168,358,000","1,943,180,000",2.856407617,"189,871,000","256,435,143","271,501,300","172,006,000",39.83666667,43.80285714,41.291,27.262,1,-4.895960832
18-Aug-17,40.85,41.16,31.32,38.85,"209,845,000","2,042,450,000",-4.895960832,"190,509,333","257,780,000","266,345,000","164,038,402",41.69333333,43.32285714,39.469,25.621,0,-11.00174978
17-Aug-17,45.72,46.34,38.91,40.69,"191,410,000","2,286,130,000",-11.00174978,"208,161,333","282,383,571","257,819,400","154,072,072",44.57333333,42.55857143,37.411,24.0415,0,-3.0651341
16-Aug-17,46.98,51.24,44.69,45.54,"170,273,000","2,349,050,000",-3.0651341,"258,926,333","306,485,714","255,329,800","145,287,862",46.82,41.91428571,35.21,22.3615,0,-0.021052632
15-Aug-17,47.5,47.99,39.52,47.49,"262,801,000","2,375,010,000",-0.021052632,"351,720,000","298,846,000","246,447,580","137,536,767",47.19,38.51571429,32.177,20.4705,1,-0.419903422
14-Aug-17,47.63,52.02,44.79,47.43,"343,705,000","2,381,360,000",-0.419903422,"323,377,000","279,101,429","228,435,520","125,234,997",43.56333333,34.34142857,28.83,18.4545,1,26.55995659
13-Aug-17,36.86,52.63,35.32,46.65,"448,654,000","1,843,040,000",26.55995659,"336,165,333","253,788,429","199,693,570","109,023,767",38.92,30.23428571,25.13,16.4505,1,10.40410133
12-Aug-17,33.16,37.37,30.45,36.61,"177,772,000","1,657,810,000",10.40410133,"306,655,667","201,330,829","159,813,050","87,655,252",35.43,25.74285714,21.532,14.541,1,-7.764317181
11-Aug-17,36.32,39.13,27.58,33.5,"382,070,000","1,815,780,000",-7.764317181,"286,330,000","187,746,314","143,791,750","80,262,407",30.47666667,22.51571429,18.682,13.139,0,66.88191882
10-Aug-17,21.68,38.44,21.36,36.18,"360,125,000","1,084,180,000",66.88191882,"200,503,000","141,205,671","107,437,540","62,803,447",25.4,19.22,16.118,11.895,1,18.59323882
9-Aug-17,18.34,21.94,17.46,21.75,"116,795,000","917,009,000",18.59323882,"135,966,000","96,880,500","72,510,700","45,862,097",19.56666667,15.57571429,13.233,10.457,1,-2.455953017
8-Aug-17,18.73,19.34,15.59,18.27,"124,589,000","936,705,000",-2.455953017,"124,184,600","82,703,929","61,731,803","41,296,152",17.38666667,13.62714286,11.773,9.73,0,22.89473684
